<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20211006,000000,3605.0479294421,3703.3520102637,3563.5229297846,3586.4040520448,45249282,20211006
20211009,000000,3568.6076236202,3610.1326232777,3458.4392571822,3458.4392571822,70390251,20211009
20211010,000000,3423.6938493056,3533.8622157436,3423.6938493056,3456.744359237,33468418,20211010
20211011,000000,3394.0331352645,3491.4897671136,3380.473951703,3380.473951703,37262037,20211011
20211012,000000,3329.6270133469,3338.9489520455,3245.7295650595,3250.8142588951,47246788,20211012
20211013,000000,3187.2555859501,3296.5765034155,3135.5611986214,3229.6280345801,47655053,20211013
20211016,000000,3321.9999725935,3354.2030335523,3321.9999725935,3354.2030335523,46705000,20211016
20211017,000000,3389.7958904015,3421.1515023878,3245.7295650595,3305.8984421141,59503367,20211017
20211018,000000,3313.5254828675,3483.0152773876,3249.1193609499,3466.0662979356,109181411,20211018
20211019,000000,3473.693338689,3533.8622157436,3424.5412982782,3442.3377267028,40434033,20211019
20211020,000000,3377.9316047851,3473.693338689,3372.8469109495,3374.5418088947,37690397,20211020
20211023,000000,3381.3214006756,3381.3214006756,3238.9499732787,3269.4581362923,82443360,20211023
20211025,000000,3225.3907897171,3279.6275239635,3111.8326273886,3114.3749743064,67530477,20211025
20211026,000000,3067.7652808134,3205.8994633473,3044.8841585532,3179.6285451967,48606574,20211026
20211027,000000,3177.9336472515,3305.0509931415,3152.5101780734,3198.2724225939,56056269,20211027
20211030,000000,3255.0515037581,3255.0515037581,3078.7821174572,3113.5275253338,51850654,20211030
20211031,000000,3076.2397705394,3118.6122191694,2972.8509958822,2984.7152814986,90830099,20211031
20211101,000000,3016.9183424574,3133.8663006762,3016.9183424574,3133.8663006762,67409214,20211101
20211102,000000,3177.9336472515,3254.2040547855,3133.8663006762,3211.8316061555,49900773,20211102
20211103,000000,3200.8147695117,3359.2877273879,3194.8826267035,3359.2877273879,84297435,20211103
20211106,000000,3432.1683390316,3466.9137469082,3400.8127270454,3466.9137469082,106091718,20211106
20211107,000000,3508.4387465656,3525.3877260176,3289.7969116347,3312.6780338949,78325188,20211107
20211108,000000,3305.0509931415,3449.1173184836,3283.0173198539,3360.1351763605,48994156,20211108
20211109,000000,3358.4402784153,3473.693338689,3327.9321154017,3344.8810948537,42045540,20211109
20211110,000000,3389.7958904015,3457.5918082096,3348.2708907441,3385.5586455386,48416796,20211110
20211113,000000,3305.8984421141,3381.3214006756,3228.7805856075,3262.6785445115,48029957,20211113
20211114,000000,3277.9326260183,3344.0336458811,3144.88313732,3210.9841571829,50274692,20211114
20211115,000000,3251.6617078677,3264.3734424567,3097.4259948544,3110.1377294434,33357879,20211115
20211116,000000,3110.985178416,3183.8657900597,3075.3923215668,3148.2729332104,30290873,20211116
20211117,000000,3159.2897698543,3211.8316061555,3148.2729332104,3151.6627291008,27448726,20211117
20211120,000000,3160.1372188269,3170.306606498,3049.1214034162,3092.3413010188,37424466,20211120
20211121,000000,3076.2397705394,3151.6627291008,3022.003036293,3105.9004845804,45219251,20211121
20211122,000000,3246.5770140321,3246.5770140321,3246.5770140321,3246.5770140321,71788810,20211122
20211123,000000,3270.3055852649,3286.4071157443,3162.6795657447,3199.9673205391,45941621,20211123
20211124,000000,3211.8316061555,3211.8316061555,3111.8326273886,3132.171402731,42553323,20211124
20211127,000000,3101.6632397174,3101.6632397174,2996.579567115,2996.579567115,65501197,20211127
20211128,000000,2991.4948732794,3089.798954101,2991.4948732794,3012.6810975944,34120582,20211128
20211129,000000,3044.0367095806,3093.1887499914,3017.76579143,3036.4096688272,37077748,20211129
20211130,000000,3016.9183424574,3073.6974236216,2999.9693630054,3016.0708934848,24022159,20211130
20211201,000000,3050.8163013614,3065.2229338956,2889.8009965673,2932.1734451973,29041896,20211201
20211204,000000,2940.6479349234,2977.0882407452,2813.5305890333,2906.7499760193,36751316,20211204
20211205,000000,2881.3265068413,3008.4438527314,2881.3265068413,2967.7663020466,35314719,20211205
20211206,000000,2974.5458938274,2991.4948732794,2908.4448739645,2912.6821188275,22288056,20211206
20211207,000000,2908.4448739645,2966.0714041014,2881.3265068413,2921.1566085535,21485259,20211207
20211208,000000,2889.8009965673,3012.6810975944,2889.8009965673,2989.7999753342,49810217,20211208
20211211,000000,2991.4948732794,2999.9693630054,2882.1739558139,2889.8009965673,32001668,20211211
20211226,000000,3071.1550767038,3114.3749743064,3042.3418116354,3055.0535462244,74715054,20211226
20211227,000000,3088.9515051284,3218.6111979363,3059.2907910874,3218.6111979363,220940055,20211227
20211228,000000,3211.8316061555,3258.4412996485,3144.0356883474,3194.8826267035,70894531,20211228
20211229,000000,3213.5265041007,3254.2040547855,3094.036198964,3102.51068869,51089874,20211229
20220101,000000,3084.7142602654,3120.3071171146,3016.9183424574,3084.7142602654,47410194,20220101
20220102,000000,3051.663750334,3100.8157907448,3034.714770882,3056.7484441696,28469600,20220102
20220103,000000,3062.6805869778,3133.0188517036,2995.7321181424,3008.4438527314,29702980,20220103
20220104,000000,2996.579567115,3008.4438527314,2906.7499760193,2961.8341592384,64025629,20220104
20220105,000000,2906.7499760193,2974.5458938274,2902.5127311563,2932.1734451973,19463382,20220105
20220108,000000,2906.7499760193,2987.2576284164,2902.5127311563,2904.2076291015,29389525,20220108
20220109,000000,2906.7499760193,2908.4448739645,2792.3443647183,2792.3443647183,63435343,20220109
20220110,000000,2728.7856917733,2792.3443647183,2686.4132431432,2755.9040588965,39662985,20220110
20220111,000000,2805.0560993073,2823.6999767045,2727.0907938281,2754.2091609513,27561646,20220111
20220112,000000,2783.8698749923,2800.8188544443,2730.4805897185,2791.4969157457,32391929,20220112
20220115,000000,2752.5142630061,2779.6326301293,2677.9387534172,2694.8877328692,19867990,20220115
20220116,000000,2677.0913044446,2730.4805897185,2627.9392640338,2677.9387534172,23603195,20220116
20220117,000000,2686.4132431432,2707.5994674582,2530.4826321848,2530.4826321848,72966314,20220117
20220118,000000,2430.4836534179,2430.4836534179,2430.4836534179,2430.4836534179,25132249,20220118
20220119,000000,2309.2984503361,2389.8061027331,2309.2984503361,2337.2642664319,228466128,20220119
20220122,000000,2368.6198784181,2415.2295719111,2205.9096756788,2205.9096756788,107941407,20220122
20220123,000000,2140.6561047886,2193.1979410898,2134.7239619804,2134.7239619804,31395792,20220123
20220126,000000,2160.994880131,2177.943859583,2030.4877383505,2156.757635268,115628493,20220126
