InsCode,DEven,Idn,NumberOfShareNew,NumberOfShareOld
8646067353086740,20140325,521,80000000,38004673
67059303301834130,20140406,522,4989059000,1600000000
11258722998911897,20140422,523,3000000000,1500000000
40756737536879408,20140422,524,764931,916331
34066377223628725,20140422,525,476599000,61220000
68635710163497089,20140426,526,4000000000,2064984800
30765727085936322,20140427,527,40000000,30000000
8977441217024425,20140427,528,500000000,300000000
24018878640527909,20140503,529,16800000000,12600000000
17617474823279712,20140505,530,800000000,200000000
60451823714332895,20140514,531,300000000,250000000
14800142337291217,20140514,532,82000000,40000000
26997316501080743,20140517,533,1092000000,840000000
7457232989848872,20140521,534,420741000,300000000
5412524775617700,20140521,535,913897,764931
35700344742885862,20140524,536,18000000000,10000000000
40505767672724777,20140525,537,2800000000,1000000000
7711282667602555,20140525,538,3600000000,1200000000
14073782708315535,20140602,539,750000000,250000000
48010225447410247,20140611,540,6500000000,4500000000
44967158778304588,20140611,541,509999999,100000000
42354736493447489,20140611,542,6773853000,2000000000
44967158778304588,20140615,543,510000000,509999999
63915926161403347,20140617,544,315000000,210000000
41852737992150281,20140621,545,833032,913897
2254054929817435,20140624,546,60000000,20000000
67965884006655065,20140624,547,150000000,50000000
70934270174405743,20140624,548,2000000000,1000000000
32821908911812078,20140701,549,200000000,80000000
62177651435283872,20140707,550,200000000,98360000
39116664428676213,20140709,551,100000000,35000000
35796086458096255,20140709,552,2314494000,771498000
39436183727126211,20140714,553,893025000,510300000
46982154647719707,20140715,554,1000000000,750000000
15039949673085566,20140721,555,1000000000,800000000
43256212620530446,20140722,556,202500000,50625000
11783645702846141,20140722,557,783453,833032
20411759370751096,20140727,558,2036422000,1036422000
52792903131341205,20140727,559,200000000,40000000
36224343915714474,20140727,560,9600000000,4800000000
1625149423498289,20140727,561,167000000,94040000
44891482026867833,20140728,562,17443306000,10400000000
9536587154100457,20140803,563,42000000000,30000000000
67206358287598044,20140803,564,288000000,192000000
36773155987365094,20140803,565,360000000,180000000
46741025610365786,20140805,566,800000000,400000000
46348559193224090,20140806,567,50000000000,36000000000
11640540339380126,20140810,568,630000000,160000000
22087269603540841,20140811,569,3233451000,561143000
4733285133017464,20140811,570,5600000000,4200000000
66790687790437196,20140817,571,6000000000,4000000000
16405556680571453,20140818,572,175000000,35000000
62603302940123327,20140823,573,400000000,240000000
27000326841257664,20140825,574,798000000,570000000
51971068201094874,20140825,575,1134000000,907200000
25485128449538632,20140825,576,772451,783453
41935584690956944,20140826,577,286468818,143234409
37631109616997982,20140901,578,66000000,33000000
62977319271289925,20140901,579,90000000,60000000
3623921205367364,20140907,580,30000000,10000000
60610861509165508,20140910,581,16393000000,10000000000
66450490505950110,20140913,582,106200000,70800000
69090868458637360,20140917,583,110000000,90000000
9896581065558383,20140922,584,816273,772451
30719054967088301,20140923,585,1723027501,519686000
50732326426469382,20140929,586,450000000,350000000
22560050433388046,20141001,587,43500000000,29000000000
12638840758449459,20141006,588,400000000,350000000
11091856606007867,20141007,589,200000000,90000000
50100062518826135,20141008,590,580000000,100000000
26014913469567886,20141014,591,36000000000,18000000000
18027801615184692,20141019,592,17100000000,12000000000
43622578471330344,20141021,593,698000000,561000000
22299894048845903,20141021,594,76000000,38000000
52232388263291380,20141021,595,30000000000,20000000000
34540569618314880,20141022,596,360000000,220000000
5375527828569577,20141022,597,893666,816273
22667016906590506,20141026,598,2000000000,960000000
63481599728522324,20141027,599,2706632000,1806632000
57944184894703821,20141109,600,2100100000,1680100000
9481703061634967,20141116,601,2000000000,1562000000
13937270451301973,20141116,602,5080320000,3628800000
34066377223628725,20141117,603,3680302000,476599000
31024260997481994,20141122,604,200000000,50000000
57309221039930244,20141123,605,3000000000,1500000000
18386853936374230,20141125,606,965227,893666
18401147983387689,20141126,607,630000000,420000000
63580313877463104,20141126,608,400000000,80000000
45050389997905274,20141130,609,10000000000,6000000000
63380098535169030,20141201,610,200000000,81000000
35425587644337450,20141202,611,43400000000,35000000000
2944500421562364,20141206,612,1700000000,1300000000
43966385447049549,20141207,613,2500000000,610723468
45174198424472334,20141214,614,2400000000,1200000000
47232550823972469,20141215,615,2000000000,610000000
37389789764168256,20141215,616,2000000000,653000000
41048299027409941,20141217,617,1821704000,910852000
34673681828119297,20141217,618,500000000,420000000
30974710508383145,20141224,619,30712500,23625000
63590061786632313,20141224,620,1005826,965227
38568786927478796,20141231,621,5100000000,2550000000
611986653700161,20150104,622,599425579,399531300
20560887114747719,20150110,623,60000000,30000000
33931218652865616,20150119,624,1223600000,1150000000
22215980602177059,20150120,625,400000000,100000000
54676885047867737,20150120,626,1000000000,630000000
6279180934042367,20150120,627,80000000,25000000
37946483689401180,20150125,628,1052757,1005826
17059960254855208,20150126,629,240000000,164608000
23441366113375722,20150126,630,30000000000,15000000000
15472396110662150,20150208,631,660960000,220320000
24085906177899789,20150208,632,294981000,110000000
50341528161302545,20150210,633,202400000,101200000
8977369674477111,20150210,634,150000000,90000000
65321970913593427,20150215,635,648000000,324000000
59612098290740355,20150217,636,200000000,150000000
23214828924506640,20150218,637,1666250000,833125000
51818283624304658,20150221,638,1041822,1052757
44850033148208596,20150301,639,28865979,22400000
796556604064374,20150301,640,1000000000,535000000
44850033148208596,20150302,641,100000000,28865979
66772024744156373,20150303,642,900000000,450000000
30852391633490755,20150303,643,598437000,306000000
18093681647131179,20150307,644,160000000,130000000
20865316761157979,20150308,645,2200000000,1000000000
49776615757150035,20150310,646,8000000000,6000000000
17528249960294496,20150310,647,4500000000,3000000000
19257295292088310,20150314,648,320857300,100000000
